2024-03-15 11:48:44,893 - WARNING - Not Found: /favicon.ico
2024-03-15 11:50:39,608 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:57:15,947 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:57:34,433 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:58:17,422 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:59:00,106 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:59:43,300 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 11:59:51,861 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:02:46,466 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:02:54,617 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:03:28,550 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:03:37,114 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:03:55,410 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:04:54,256 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:07:37,151 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:08:17,035 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:11:12,813 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:14:32,966 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:16:23,017 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:16:55,378 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:17:07,247 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:18:31,236 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:18:57,247 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:19:18,489 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:19:27,472 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:20:00,920 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:20:49,600 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:21:44,079 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:22:41,268 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:22:50,211 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:24:01,969 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:24:11,124 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
2024-03-15 12:35:02,981 - INFO - C:\Users\Lucas Fontini\Desktop\DJANGO_JANELA\maintenance_django\apps\core_activity\Send_emails.py changed, reloading.
